text,intent,tema,lokasi,budget_min,budget_max,jumlah_tamu,tipe_acara,venue,waktu
estimasi mix_sunda_jawa tasikmalaya 120 estimasi resepsi villa,estimasi_budget,mix_sunda_jawa,tasikmalaya,0,0,120,resepsi,villa,
vendor sunda bogor 20 100jt-150jt akad+resepsi,cari_vendor,sunda,bogor,100000000,150000000,20,akad+resepsi,cafe,malam
catering modern bali 550 20jt-30jt akad+resepsi kebun siang,cari_catering,modern,bali,20000000,30000000,550,akad+resepsi,kebun,siang
catering minimalis jakarta timur 80 10jt-30jt lamaran+akad masjid,cari_catering,minimalis,jakarta timur,10000000,30000000,80,lamaran+akad,masjid,pagi
catering mix_sunda_jawa pekanbaru 150 20jt-40jt lamaran outdoor weekday,cari_catering,mix_sunda_jawa,pekanbaru,20000000,40000000,150,lamaran,outdoor,weekday
paket modern jakarta selatan 600 80jt-100jt resepsi restoran,cari_rekomendasi_paket,modern,jakarta selatan,80000000,100000000,600,resepsi,restoran,weekday
catering internasional garut 400 <= 20jt lamaran,cari_catering,internasional,garut,0,20000000,400,lamaran,masjid,siang
vendor mix_sunda_jawa bekasi 20 <= 8jt akad cafe,cari_vendor,mix_sunda_jawa,bekasi,0,8000000,20,akad,cafe,pagi
cek jawa surabaya 600 <= 10jt akad+resepsi,tanya_kemungkinan,jawa,surabaya,0,10000000,600,akad+resepsi,ballroom,weekday
cek melayu makassar 150 5jt-15jt lamaran hotel,tanya_kemungkinan,melayu,makassar,5000000,15000000,150,lamaran,hotel,malam
catering internasional depok 550 <= 8jt,cari_catering,internasional,depok,0,8000000,550,lamaran,taman,weekday
cek internasional malang 80 120jt-180jt akad+resepsi ballroom siang,tanya_kemungkinan,internasional,malang,120000000,180000000,80,akad+resepsi,ballroom,siang
cek sunda jakarta selatan 550 150jt-175jt resepsi kebun,tanya_kemungkinan,sunda,jakarta selatan,150000000,175000000,550,resepsi,kebun,malam
paket jawa semarang 500 <= 20jt lamaran villa,cari_rekomendasi_paket,jawa,semarang,0,20000000,500,lamaran,villa,malam
vendor internasional padang 80 90jt-105jt resepsi taman,cari_vendor,internasional,padang,90000000,105000000,80,resepsi,taman,
dekor mix_sunda_jawa bekasi 20 40jt-50jt lamaran gedung,cari_dekor,mix_sunda_jawa,bekasi,40000000,50000000,20,lamaran,gedung,siang
estimasi modern tasikmalaya 50 estimasi lamaran+akad taman,estimasi_budget,modern,tasikmalaya,0,0,50,lamaran+akad,taman,minggu
paket internasional bali 180 5jt-10jt akad masjid pagi,cari_rekomendasi_paket,internasional,bali,5000000,10000000,180,akad,masjid,pagi
paket batak puncak 100 100jt-150jt lamaran+akad gedung,cari_rekomendasi_paket,batak,puncak,100000000,150000000,100,lamaran+akad,gedung,malam
catering internasional jakarta selatan 600 50jt-60jt akad hotel malam,cari_catering,internasional,jakarta selatan,50000000,60000000,600,akad,hotel,malam
cek internasional surakarta 150 80jt-100jt lamaran+akad taman,tanya_kemungkinan,internasional,surakarta,80000000,100000000,150,lamaran+akad,taman,malam
paket bugis jakarta pusat 100 60jt-70jt lamaran+akad ballroom malam,cari_rekomendasi_paket,bugis,jakarta pusat,60000000,70000000,100,lamaran+akad,ballroom,malam
venue bugis padang 50 150jt-200jt akad restoran,cari_venue,bugis,padang,150000000,200000000,50,akad,restoran,pagi
estimasi minimalis jakarta barat 300 estimasi lamaran,estimasi_budget,minimalis,jakarta barat,0,0,300,lamaran,kebun,malam
catering batak makassar 600 <= 8jt akad restoran malam,cari_catering,batak,makassar,0,8000000,600,akad,restoran,malam
estimasi bugis bekasi 150 estimasi akad+resepsi gedung,estimasi_budget,bugis,bekasi,0,0,150,akad+resepsi,gedung,
cek melayu makassar 80 200jt-300jt akad restoran,tanya_kemungkinan,melayu,makassar,200000000,300000000,80,akad,restoran,pagi
paket rustic jakarta selatan 200 <= 10jt lamaran+akad kebun,cari_rekomendasi_paket,rustic,jakarta selatan,0,10000000,200,lamaran+akad,kebun,malam
paket modern semarang 100 5jt-15jt resepsi ballroom pagi,cari_rekomendasi_paket,modern,semarang,5000000,15000000,100,resepsi,ballroom,pagi
cek minang medan 400 <= 10jt resepsi outdoor malam,tanya_kemungkinan,minang,medan,0,10000000,400,resepsi,outdoor,malam
catering internasional garut 50 10jt-30jt akad rooftop,cari_catering,internasional,garut,10000000,30000000,50,akad,rooftop,
catering melayu pekanbaru 450 90jt-120jt resepsi rumah,cari_catering,melayu,pekanbaru,90000000,120000000,450,resepsi,rumah,malam
estimasi bugis bandung 100 akad masjid weekday,estimasi_budget,bugis,bandung,0,0,100,akad,masjid,weekday
estimasi sunda surakarta 500 lamaran resort,estimasi_budget,sunda,surakarta,0,0,500,lamaran,resort,siang
cek mix_sunda_jawa semarang 300 30jt-50jt akad+resepsi ballroom weekday,tanya_kemungkinan,mix_sunda_jawa,semarang,30000000,50000000,300,akad+resepsi,ballroom,weekday
cek jawa jakarta selatan 120 70jt-90jt resepsi hotel siang,tanya_kemungkinan,jawa,jakarta selatan,70000000,90000000,120,resepsi,hotel,siang
venue jawa jakarta pusat 350 90jt-120jt akad hotel pagi,cari_venue,jawa,jakarta pusat,90000000,120000000,350,akad,hotel,pagi
estimasi internasional jakarta barat 180 estimasi akad+resepsi resort,estimasi_budget,internasional,jakarta barat,0,0,180,akad+resepsi,resort,pagi
cek bugis puncak 350 70jt-90jt akad+resepsi villa,tanya_kemungkinan,bugis,puncak,70000000,90000000,350,akad+resepsi,villa,siang
estimasi sunda malang 20 estimasi lamaran resort,estimasi_budget,sunda,malang,0,0,20,lamaran,resort,pagi
catering batak surakarta 150 120jt-150jt akad+resepsi gedung,cari_catering,batak,surakarta,120000000,150000000,150,akad+resepsi,gedung,weekday
venue modern jakarta pusat 450 5jt-15jt hotel,cari_venue,modern,jakarta pusat,5000000,15000000,450,akad+resepsi,hotel,minggu
estimasi bugis garut 30 estimasi akad+resepsi siang,estimasi_budget,bugis,garut,0,0,30,akad+resepsi,resort,siang
paket melayu bali 50 <= 10jt akad+resepsi rumah pagi,cari_rekomendasi_paket,melayu,bali,0,10000000,50,akad+resepsi,rumah,pagi
dekor bugis surakarta 250 100jt-125jt resepsi taman,cari_dekor,bugis,surakarta,100000000,125000000,250,resepsi,taman,pagi
venue batak depok 50 20jt-30jt lamaran+akad masjid siang,cari_venue,batak,depok,20000000,30000000,50,lamaran+akad,masjid,siang
vendor rustic depok 600 100jt-150jt lamaran rumah,cari_vendor,rustic,depok,100000000,150000000,600,lamaran,rumah,minggu
estimasi melayu jakarta barat 300 estimasi lamaran+akad hotel,estimasi_budget,melayu,jakarta barat,0,0,300,lamaran+akad,hotel,weekday
estimasi minang bandung 500 estimasi lamaran+akad villa,estimasi_budget,minang,bandung,0,0,500,lamaran+akad,villa,siang
venue minimalis malang 600 100jt-125jt resepsi rooftop malam,cari_venue,minimalis,malang,100000000,125000000,600,resepsi,rooftop,malam
dekor melayu padang 550 40jt-60jt akad rooftop weekday,cari_dekor,melayu,padang,40000000,60000000,550,akad,rooftop,weekday
estimasi rustic bogor 350 estimasi akad+resepsi resort,estimasi_budget,rustic,bogor,0,0,350,akad+resepsi,resort,siang
estimasi mix_sunda_jawa bali 80 estimasi akad masjid minggu,estimasi_budget,mix_sunda_jawa,bali,0,0,80,akad,masjid,minggu
vendor modern tasikmalaya 100 <= 5jt lamaran+akad,cari_vendor,modern,tasikmalaya,0,5000000,100,lamaran+akad,ballroom,
venue jawa sentul 500 80jt-90jt lamaran villa,cari_venue,jawa,sentul,80000000,90000000,500,lamaran,villa,pagi
catering batak jakarta selatan 180 80jt-100jt akad villa,cari_catering,batak,jakarta selatan,80000000,100000000,180,akad,villa,siang
cek jawa bali 250 80jt-100jt akad hotel,tanya_kemungkinan,jawa,bali,80000000,100000000,250,akad,hotel,malam
venue melayu cirebon 30 100jt-125jt lamaran+akad taman,cari_venue,melayu,cirebon,100000000,125000000,30,lamaran+akad,taman,minggu
venue minimalis tasikmalaya 200 5jt-10jt lamaran+akad taman,cari_venue,minimalis,tasikmalaya,5000000,10000000,200,lamaran+akad,taman,pagi
paket mix_sunda_jawa cirebon 30 90jt-120jt akad+resepsi ballroom,cari_rekomendasi_paket,mix_sunda_jawa,cirebon,90000000,120000000,30,akad+resepsi,ballroom,pagi
paket minimalis cirebon 500 90jt-120jt resepsi gedung malam,cari_rekomendasi_paket,minimalis,cirebon,90000000,120000000,500,resepsi,gedung,malam
catering batak bandung 350 <= 8jt lamaran resort,cari_catering,batak,bandung,0,8000000,350,lamaran,resort,minggu
paket rustic jakarta timur 550 <= 8jt resepsi rooftop,cari_rekomendasi_paket,rustic,jakarta timur,0,8000000,550,resepsi,rooftop,minggu
dekor rustic sentul 600 lamaran+akad resort weekday,cari_dekor,rustic,sentul,70000000,90000000,600,lamaran+akad,resort,weekday
dekor rustic malang 80 60jt-80jt resepsi,cari_dekor,rustic,malang,60000000,80000000,80,resepsi,restoran,siang
estimasi rustic bogor 250 estimasi akad masjid,estimasi_budget,rustic,bogor,0,0,250,akad,masjid,malam
paket mix_sunda_jawa padang 120 120jt-150jt akad+resepsi resort,cari_rekomendasi_paket,mix_sunda_jawa,padang,120000000,150000000,120,akad+resepsi,resort,
cek rustic garut 180 60jt-70jt lamaran+akad,tanya_kemungkinan,rustic,garut,60000000,70000000,180,lamaran+akad,gedung,
paket internasional sentul 50 120jt-150jt lamaran+akad ballroom malam,cari_rekomendasi_paket,internasional,sentul,120000000,150000000,50,lamaran+akad,ballroom,malam
vendor minang surakarta 400 20jt-30jt lamaran ballroom,cari_vendor,minang,surakarta,20000000,30000000,400,lamaran,ballroom,
venue modern malang 180 10jt-20jt lamaran+akad villa,cari_venue,modern,malang,10000000,20000000,180,lamaran+akad,villa,malam
cek internasional sentul 50 80jt-90jt akad+resepsi hotel,tanya_kemungkinan,internasional,sentul,80000000,90000000,50,akad+resepsi,hotel,siang
vendor rustic bogor 120 180jt-215jt lamaran outdoor,cari_vendor,rustic,bogor,180000000,215000000,120,lamaran,outdoor,pagi
estimasi modern padang 50 estimasi lamaran+akad outdoor,estimasi_budget,modern,padang,0,0,50,lamaran+akad,outdoor,minggu
estimasi internasional jakarta barat 100 estimasi lamaran restoran,estimasi_budget,internasional,jakarta barat,0,0,100,lamaran,restoran,
venue jawa yogyakarta 300 <= 8jt outdoor weekday,cari_venue,jawa,yogyakarta,0,8000000,300,lamaran+akad,outdoor,weekday
cek rustic surabaya 180 <= 20jt lamaran pantai,tanya_kemungkinan,rustic,surabaya,0,20000000,180,lamaran,pantai,siang
catering minimalis pekanbaru 120 200jt-300jt lamaran,cari_catering,minimalis,pekanbaru,200000000,300000000,120,lamaran,hotel,minggu
venue bugis tasikmalaya 250 40jt-50jt akad+resepsi pantai siang,cari_venue,bugis,tasikmalaya,40000000,50000000,250,akad+resepsi,pantai,siang
venue jawa tasikmalaya 180 lamaran+akad masjid,cari_venue,jawa,tasikmalaya,0,20000000,180,lamaran+akad,masjid,weekday
paket melayu bali 550 <= 20jt pantai siang,cari_rekomendasi_paket,melayu,bali,0,20000000,550,lamaran+akad,pantai,siang
vendor minimalis puncak 30 akad restoran,cari_vendor,minimalis,puncak,80000000,100000000,30,akad,restoran,minggu
cek rustic bogor 300 20jt-30jt lamaran cafe malam,tanya_kemungkinan,rustic,bogor,20000000,30000000,300,lamaran,cafe,malam
paket minimalis tasikmalaya 450 150jt-200jt lamaran rooftop,cari_rekomendasi_paket,minimalis,tasikmalaya,150000000,200000000,450,lamaran,rooftop,minggu
dekor rustic tasikmalaya 50 180jt-250jt akad resort,cari_dekor,rustic,tasikmalaya,180000000,250000000,50,akad,resort,weekday
paket jawa cirebon 400 <= 8jt akad taman pagi,cari_rekomendasi_paket,jawa,cirebon,0,8000000,400,akad,taman,pagi
estimasi minimalis surabaya 30 estimasi akad cafe,estimasi_budget,minimalis,surabaya,0,0,30,akad,cafe,minggu
cek internasional garut 80 180jt-250jt lamaran pantai,tanya_kemungkinan,internasional,garut,180000000,250000000,80,lamaran,pantai,malam
paket rustic depok 180 <= 5jt lamaran,cari_rekomendasi_paket,rustic,depok,0,5000000,180,lamaran,taman,
cek modern yogyakarta 450 akad resort malam,tanya_kemungkinan,modern,yogyakarta,10000000,20000000,450,akad,resort,malam
cek rustic cirebon 180 akad+resepsi villa,tanya_kemungkinan,rustic,cirebon,20000000,40000000,180,akad+resepsi,villa,pagi
vendor sunda cirebon 30 80jt-100jt akad rooftop,cari_vendor,sunda,cirebon,80000000,100000000,30,akad,rooftop,malam
estimasi bugis depok 500 estimasi lamaran resort minggu,estimasi_budget,bugis,depok,0,0,500,lamaran,resort,minggu
dekor mix_sunda_jawa makassar 50 50jt-60jt rumah,cari_dekor,mix_sunda_jawa,makassar,50000000,60000000,50,lamaran+akad,rumah,
paket jawa yogyakarta 80 10jt-30jt akad siang,cari_rekomendasi_paket,jawa,yogyakarta,10000000,30000000,80,akad,masjid,siang
vendor modern surabaya 400 100jt-125jt akad+resepsi siang,cari_vendor,modern,surabaya,100000000,125000000,400,akad+resepsi,taman,siang
estimasi batak jakarta timur 150 estimasi akad gedung,estimasi_budget,batak,jakarta timur,0,0,150,akad,gedung,
estimasi jawa depok 200 estimasi akad+resepsi taman pagi,estimasi_budget,jawa,depok,0,0,200,akad+resepsi,taman,pagi
vendor modern garut 500 60jt-80jt resepsi siang,cari_vendor,modern,garut,60000000,80000000,500,resepsi,rumah,siang
catering batak jakarta pusat 80 100jt-150jt akad+resepsi rooftop siang,cari_catering,batak,jakarta pusat,100000000,150000000,80,akad+resepsi,rooftop,siang
estimasi melayu medan 120 estimasi lamaran+akad pagi,estimasi_budget,melayu,medan,0,0,120,lamaran+akad,villa,pagi
venue sunda cirebon 50 5jt-15jt resepsi gedung,cari_venue,sunda,cirebon,5000000,15000000,50,resepsi,gedung,pagi
venue minimalis bogor 400 120jt-180jt ballroom,cari_venue,minimalis,bogor,120000000,180000000,400,akad,ballroom,weekday
catering internasional padang 120 30jt-50jt resepsi villa siang,cari_catering,internasional,padang,30000000,50000000,120,resepsi,villa,siang
catering minimalis garut 30 5jt-10jt resepsi pagi,cari_catering,minimalis,garut,5000000,10000000,30,resepsi,rooftop,pagi
venue minimalis jakarta selatan 200 70jt-80jt akad hotel malam,cari_venue,minimalis,jakarta selatan,70000000,80000000,200,akad,hotel,malam
venue minang padang 550 60jt-80jt akad cafe,cari_venue,minang,padang,60000000,80000000,550,akad,cafe,siang
cek sunda jakarta timur 500 20jt-40jt lamaran+akad outdoor,tanya_kemungkinan,sunda,jakarta timur,20000000,40000000,500,lamaran+akad,outdoor,weekday
catering modern jakarta selatan 350 10jt-30jt lamaran ballroom,cari_catering,modern,jakarta selatan,10000000,30000000,350,lamaran,ballroom,pagi
cek batak malang 80 <= 5jt akad ballroom minggu,tanya_kemungkinan,batak,malang,0,5000000,80,akad,ballroom,minggu
venue internasional malang 600 20jt-40jt akad masjid,cari_venue,internasional,malang,20000000,40000000,600,akad,masjid,minggu
paket minimalis cirebon 550 20jt-40jt lamaran+akad,cari_rekomendasi_paket,minimalis,cirebon,20000000,40000000,550,lamaran+akad,taman,minggu
paket mix_sunda_jawa puncak 550 100jt-125jt resepsi,cari_rekomendasi_paket,mix_sunda_jawa,puncak,100000000,125000000,550,resepsi,kebun,malam
venue melayu cirebon 400 70jt-90jt lamaran kebun pagi,cari_venue,melayu,cirebon,70000000,90000000,400,lamaran,kebun,pagi
estimasi minang bali 80 estimasi lamaran outdoor,estimasi_budget,minang,bali,0,0,80,lamaran,outdoor,siang
dekor bugis garut 500 70jt-90jt akad cafe,cari_dekor,bugis,garut,70000000,90000000,500,akad,cafe,pagi
dekor batak jakarta timur 120 180jt-215jt lamaran+akad rooftop minggu,cari_dekor,batak,jakarta timur,180000000,215000000,120,lamaran+akad,rooftop,minggu
estimasi batak garut 80 estimasi lamaran pantai minggu,estimasi_budget,batak,garut,0,0,80,lamaran,pantai,minggu
dekor internasional depok 550 100jt-125jt akad+resepsi kebun pagi,cari_dekor,internasional,depok,100000000,125000000,550,akad+resepsi,kebun,pagi
paket jawa jakarta selatan 200 120jt-150jt akad+resepsi cafe malam,cari_rekomendasi_paket,jawa,jakarta selatan,120000000,150000000,200,akad+resepsi,cafe,malam
paket melayu bekasi 400 100jt-150jt akad+resepsi gedung,cari_rekomendasi_paket,melayu,bekasi,100000000,150000000,400,akad+resepsi,gedung,malam
vendor minimalis jakarta pusat 200 <= 5jt resepsi rumah,cari_vendor,minimalis,jakarta pusat,0,5000000,200,resepsi,rumah,minggu
paket rustic padang 600 80jt-100jt lamaran outdoor,cari_rekomendasi_paket,rustic,padang,80000000,100000000,600,lamaran,outdoor,siang
paket internasional garut 400 5jt-15jt lamaran+akad masjid,cari_rekomendasi_paket,internasional,garut,5000000,15000000,400,lamaran+akad,masjid,malam
estimasi melayu sentul 180 estimasi akad+resepsi rumah,estimasi_budget,melayu,sentul,0,0,180,akad+resepsi,rumah,weekday
vendor jawa depok 350 180jt-250jt lamaran+akad pantai,cari_vendor,jawa,depok,180000000,250000000,350,lamaran+akad,pantai,malam
paket batak bandung 600 80jt-100jt akad rooftop siang,cari_rekomendasi_paket,batak,bandung,80000000,100000000,600,akad,rooftop,siang
dekor modern bogor 150 30jt-50jt resepsi rooftop weekday,cari_dekor,modern,bogor,30000000,50000000,150,resepsi,rooftop,weekday
vendor minang depok 450 100jt-150jt hotel,cari_vendor,minang,depok,100000000,150000000,450,akad,hotel,
cek batak bekasi 150 80jt-100jt akad outdoor,tanya_kemungkinan,batak,bekasi,80000000,100000000,150,akad,outdoor,weekday
cek melayu yogyakarta 550 40jt-50jt gedung,tanya_kemungkinan,melayu,yogyakarta,40000000,50000000,550,akad,gedung,malam
cek melayu tasikmalaya 100 60jt-80jt masjid,tanya_kemungkinan,melayu,tasikmalaya,60000000,80000000,100,resepsi,masjid,pagi
vendor rustic pekanbaru 450 180jt-250jt akad masjid,cari_vendor,rustic,pekanbaru,180000000,250000000,450,akad,masjid,minggu
catering rustic surakarta 150 <= 5jt lamaran cafe,cari_catering,rustic,surakarta,0,5000000,150,lamaran,cafe,weekday
paket minimalis bogor 30 70jt-90jt ballroom,cari_rekomendasi_paket,minimalis,bogor,70000000,90000000,30,lamaran+akad,ballroom,malam
paket sunda yogyakarta 350 180jt-250jt akad cafe,cari_rekomendasi_paket,sunda,yogyakarta,180000000,250000000,350,akad,cafe,
estimasi bugis pekanbaru 450 akad+resepsi pantai,estimasi_budget,bugis,pekanbaru,0,0,450,akad+resepsi,pantai,weekday
paket jawa padang 550 200jt-250jt resepsi villa,cari_rekomendasi_paket,jawa,padang,200000000,250000000,550,resepsi,villa,weekday
catering batak bali 180 60jt-70jt resepsi,cari_catering,batak,bali,60000000,70000000,180,resepsi,gedung,minggu
catering sunda garut 180 150jt-175jt,cari_catering,sunda,garut,150000000,175000000,180,akad+resepsi,outdoor,weekday
paket rustic surakarta 400 100jt-150jt lamaran taman malam,cari_rekomendasi_paket,rustic,surakarta,100000000,150000000,400,lamaran,taman,malam
estimasi minang surabaya 350 estimasi lamaran+akad,estimasi_budget,minang,surabaya,0,0,350,lamaran+akad,villa,pagi
dekor sunda makassar 600 5jt-10jt lamaran+akad ballroom,cari_dekor,sunda,makassar,5000000,10000000,600,lamaran+akad,ballroom,malam
venue bugis puncak 450 150jt-200jt akad+resepsi villa,cari_venue,bugis,puncak,150000000,200000000,450,akad+resepsi,villa,pagi
estimasi melayu surabaya 180 estimasi lamaran+akad pantai,estimasi_budget,melayu,surabaya,0,0,180,lamaran+akad,pantai,siang
catering mix_sunda_jawa semarang 400 30jt-50jt lamaran kebun,cari_catering,mix_sunda_jawa,semarang,30000000,50000000,400,lamaran,kebun,malam
vendor internasional tasikmalaya 250 resepsi,cari_vendor,internasional,tasikmalaya,40000000,60000000,250,resepsi,resort,siang
estimasi minang bekasi 100 estimasi lamaran+akad minggu,estimasi_budget,minang,bekasi,0,0,100,lamaran+akad,kebun,minggu
estimasi mix_sunda_jawa pekanbaru 30 estimasi akad+resepsi rooftop,estimasi_budget,mix_sunda_jawa,pekanbaru,0,0,30,akad+resepsi,rooftop,
estimasi sunda medan 180 akad pantai,estimasi_budget,sunda,medan,0,0,180,akad,pantai,pagi
paket mix_sunda_jawa makassar 20 50jt-70jt akad+resepsi villa,cari_rekomendasi_paket,mix_sunda_jawa,makassar,50000000,70000000,20,akad+resepsi,villa,pagi
dekor internasional semarang 150 20jt-40jt lamaran rumah,cari_dekor,internasional,semarang,20000000,40000000,150,lamaran,rumah,siang
cek batak surakarta 180 90jt-120jt resepsi kebun siang,tanya_kemungkinan,batak,surakarta,90000000,120000000,180,resepsi,kebun,siang
vendor minang jakarta pusat 50 <= 5jt lamaran villa,cari_vendor,minang,jakarta pusat,0,5000000,50,lamaran,villa,pagi
paket modern pekanbaru 80 100jt-125jt resepsi pantai siang,cari_rekomendasi_paket,modern,pekanbaru,100000000,125000000,80,resepsi,pantai,siang
cek mix_sunda_jawa depok 550 lamaran,tanya_kemungkinan,mix_sunda_jawa,depok,120000000,150000000,550,lamaran,masjid,malam
vendor batak tasikmalaya 80 70jt-90jt akad+resepsi pantai,cari_vendor,batak,tasikmalaya,70000000,90000000,80,akad+resepsi,pantai,
catering bugis puncak 20 20jt-30jt lamaran+akad restoran,cari_catering,bugis,puncak,20000000,30000000,20,lamaran+akad,restoran,malam
paket bugis cirebon 550 <= 5jt akad+resepsi pantai,cari_rekomendasi_paket,bugis,cirebon,0,5000000,550,akad+resepsi,pantai,minggu
venue minimalis bali 150 60jt-80jt lamaran+akad rooftop weekday,cari_venue,minimalis,bali,60000000,80000000,150,lamaran+akad,rooftop,weekday
dekor batak surabaya 180 20jt-40jt lamaran restoran malam,cari_dekor,batak,surabaya,20000000,40000000,180,lamaran,restoran,malam
vendor internasional yogyakarta 20 200jt-300jt resepsi hotel,cari_vendor,internasional,yogyakarta,200000000,300000000,20,resepsi,hotel,minggu
estimasi jawa garut 350 estimasi akad+resepsi cafe,estimasi_budget,jawa,garut,0,0,350,akad+resepsi,cafe,minggu
venue minang jakarta barat 50 200jt-300jt resepsi gedung pagi,cari_venue,minang,jakarta barat,200000000,300000000,50,resepsi,gedung,pagi
paket internasional jakarta barat 350 200jt-250jt akad hotel,cari_rekomendasi_paket,internasional,jakarta barat,200000000,250000000,350,akad,hotel,
catering minimalis jakarta timur 30 10jt-20jt resort pagi,cari_catering,minimalis,jakarta timur,10000000,20000000,30,akad,resort,pagi
venue minang puncak 300 180jt-250jt akad gedung,cari_venue,minang,puncak,180000000,250000000,300,akad,gedung,malam
estimasi minang medan 600 estimasi lamaran ballroom,estimasi_budget,minang,medan,0,0,600,lamaran,ballroom,malam
estimasi sunda tasikmalaya 100 estimasi,estimasi_budget,sunda,tasikmalaya,0,0,100,akad+resepsi,resort,pagi
cek mix_sunda_jawa bekasi 350 60jt-80jt akad+resepsi taman pagi,tanya_kemungkinan,mix_sunda_jawa,bekasi,60000000,80000000,350,akad+resepsi,taman,pagi
dekor mix_sunda_jawa tasikmalaya 30 10jt-20jt lamaran rumah,cari_dekor,mix_sunda_jawa,tasikmalaya,10000000,20000000,30,lamaran,rumah,malam
paket internasional depok 550 180jt-250jt akad rooftop,cari_rekomendasi_paket,internasional,depok,180000000,250000000,550,akad,rooftop,
vendor melayu sentul 30 70jt-90jt akad+resepsi,cari_vendor,melayu,sentul,70000000,90000000,30,akad+resepsi,ballroom,siang
cek bugis padang 600 200jt-250jt akad+resepsi villa weekday,tanya_kemungkinan,bugis,padang,200000000,250000000,600,akad+resepsi,villa,weekday
dekor melayu jakarta pusat 100 60jt-70jt akad+resepsi gedung,cari_dekor,melayu,jakarta pusat,60000000,70000000,100,akad+resepsi,gedung,minggu
estimasi internasional puncak 550 estimasi lamaran+akad outdoor,estimasi_budget,internasional,puncak,0,0,550,lamaran+akad,outdoor,
dekor minang jakarta timur 500 70jt-80jt akad restoran,cari_dekor,minang,jakarta timur,70000000,80000000,500,akad,restoran,pagi
vendor jawa makassar 80 <= 8jt rooftop,cari_vendor,jawa,makassar,0,8000000,80,lamaran+akad,rooftop,pagi
dekor modern bogor 350 30jt-50jt akad outdoor weekday,cari_dekor,modern,bogor,30000000,50000000,350,akad,outdoor,weekday
paket modern garut 300 <= 5jt akad+resepsi pantai,cari_rekomendasi_paket,modern,garut,0,5000000,300,akad+resepsi,pantai,
paket batak medan 80 100jt-150jt resepsi,cari_rekomendasi_paket,batak,medan,100000000,150000000,80,resepsi,ballroom,siang
paket sunda bekasi 80 90jt-120jt lamaran+akad pantai,cari_rekomendasi_paket,sunda,bekasi,90000000,120000000,80,lamaran+akad,pantai,weekday
venue melayu medan 400 <= 5jt akad rumah,cari_venue,melayu,medan,0,5000000,400,akad,rumah,siang
catering rustic bandung 550 30jt-50jt akad+resepsi malam,cari_catering,rustic,bandung,30000000,50000000,550,akad+resepsi,villa,malam
vendor internasional garut 30 resepsi outdoor,cari_vendor,internasional,garut,180000000,250000000,30,resepsi,outdoor,
dekor rustic tasikmalaya 450 70jt-90jt lamaran kebun,cari_dekor,rustic,tasikmalaya,70000000,90000000,450,lamaran,kebun,
estimasi jawa bandung 250 estimasi lamaran villa malam,estimasi_budget,jawa,bandung,0,0,250,lamaran,villa,malam
vendor internasional jakarta barat 80 <= 8jt resepsi hotel,cari_vendor,internasional,jakarta barat,0,8000000,80,resepsi,hotel,
catering minang jakarta timur 120 200jt-250jt lamaran+akad villa,cari_catering,minang,jakarta timur,200000000,250000000,120,lamaran+akad,villa,weekday
venue sunda bogor 50 200jt-250jt akad+resepsi cafe,cari_venue,sunda,bogor,200000000,250000000,50,akad+resepsi,cafe,minggu
catering melayu medan 80 <= 5jt akad+resepsi restoran,cari_catering,melayu,medan,0,5000000,80,akad+resepsi,restoran,siang
paket modern bekasi 350 10jt-30jt lamaran+akad outdoor siang,cari_rekomendasi_paket,modern,bekasi,10000000,30000000,350,lamaran+akad,outdoor,siang
paket melayu malang 120 100jt-150jt lamaran+akad resort,cari_rekomendasi_paket,melayu,malang,100000000,150000000,120,lamaran+akad,resort,siang
paket melayu surakarta 80 180jt-215jt restoran,cari_rekomendasi_paket,melayu,surakarta,180000000,215000000,80,akad,restoran,
cek minang bali 120 <= 8jt lamaran+akad kebun siang,tanya_kemungkinan,minang,bali,0,8000000,120,lamaran+akad,kebun,siang
paket rustic jakarta timur 250 180jt-215jt resepsi,cari_rekomendasi_paket,rustic,jakarta timur,180000000,215000000,250,resepsi,masjid,minggu
cek internasional surabaya 200 180jt-250jt lamaran+akad ballroom,tanya_kemungkinan,internasional,surabaya,180000000,250000000,200,lamaran+akad,ballroom,siang
paket sunda surakarta 150 50jt-60jt lamaran+akad rooftop weekday,cari_rekomendasi_paket,sunda,surakarta,50000000,60000000,150,lamaran+akad,rooftop,weekday
estimasi batak bekasi 100 estimasi akad ballroom,estimasi_budget,batak,bekasi,0,0,100,akad,ballroom,
venue batak garut 400 200jt-250jt akad+resepsi taman,cari_venue,batak,garut,200000000,250000000,400,akad+resepsi,taman,minggu
dekor batak bali 80 180jt-250jt akad hotel,cari_dekor,batak,bali,180000000,250000000,80,akad,hotel,weekday
dekor sunda depok 400 <= 20jt akad kebun,cari_dekor,sunda,depok,0,20000000,400,akad,kebun,malam
catering sunda jakarta pusat 50 100jt-150jt akad,cari_catering,sunda,jakarta pusat,100000000,150000000,50,akad,villa,malam
catering minang tasikmalaya 120 <= 8jt lamaran rooftop,cari_catering,minang,tasikmalaya,0,8000000,120,lamaran,rooftop,siang
paket internasional garut 200 200jt-300jt lamaran rooftop pagi,cari_rekomendasi_paket,internasional,garut,200000000,300000000,200,lamaran,rooftop,pagi
catering bugis garut 550 60jt-80jt lamaran gedung,cari_catering,bugis,garut,60000000,80000000,550,lamaran,gedung,minggu
